PCA1,PCA2,PCA3,Cluster
-1.3691636214881115,1.9807704631188712,0.08337503178230402,2
1.0823178539897984,-0.5501935247227966,-0.34885395753066417,0
-0.04037018995632875,-0.2042908964885359,0.05031365488467419,0
0.000598078873224299,-0.7690035113089896,-0.3633185713447473,0
-1.246607523305904,1.8587614650526194,0.005706365794636143,2
0.6101474522722529,-0.3870193712189642,0.2259862268057257,0
-0.9343786656019649,0.8424195104600153,0.02230669230559863,2
-0.8160229860743146,1.1944952574787167,-0.1955492389274871,2
-0.9141805169057561,0.9589721625007791,-0.032038131937757564,2
0.20064587601391962,-0.658356053335681,-0.2196481992543828,0
0.40312416269218604,-0.45002630834518453,-0.8372040852722461,0
-0.05777845442624628,-0.9850969992331299,-0.06065032405140959,0
0.930031517308006,0.01585236927186738,-0.9252739224705111,0
0.24241952130149833,-0.3273477819457219,-0.3593898001816757,0
-1.1980109249603808,1.6302616112513173,0.0296648132204116,2
1.6535715712995105,-0.3253985127296129,-0.4051600681312061,0
-0.43097762036781556,0.02749119432829882,-0.019018147759219506,0
0.2763561596823167,-0.7969990580144187,-0.06608088227762045,0
-1.0879639515121136,1.7113868390747058,0.08427100926440048,2
-0.22020666616920095,-1.0231426880443044,-0.07930384338904252,0
0.48560822933774866,-0.24486628980813385,-0.429867146000144,0
0.008615164141442951,-0.49243764194111433,-0.2725870560893886,0
-0.07461821538148616,-0.2430458634633758,-0.08814959314215652,0
-1.2466542615690026,1.8695564033897683,0.0024684991323736423,2
-0.18790710531127958,-0.7825937409211356,-0.1826747176234221,0
-0.10617818094265796,-0.9079167289583616,-0.0387923829542139,0
-0.9270319443760107,2.0379299559788633,-0.1656906894260355,2
0.1819051721993443,0.5068744063720035,-0.920954247481211,0
-0.26441070063112476,-0.2059684071576327,-0.10401698595143043,0
0.4080750214716581,-0.5907616269835126,-0.2521153833397095,0
0.4371241550082604,-0.7704589299525026,-0.04237511101169551,0
-0.15912750914610466,0.9279067719486219,-0.00035553148405000545,2
-0.14701455580319067,-0.7302581957536775,-0.05456172650168974,0
-1.2688651492477958,2.144352459352147,0.12204289840922687,2
0.65340117550558,-0.5694082928189969,-0.12369758663052727,0
-0.40014636704894124,-0.27615930450216747,-0.13789281305092,0
-0.21346907612528912,-0.8256786344658533,-0.14564131389093907,0
0.08033109591932995,-0.18648492428096336,-0.06812156687802755,0
-0.248766700909438,-0.3941147796685039,-0.06146973505771322,0
1.2661756271072717,-0.3295370449454567,0.3234754269979311,0
0.20711993334755652,-0.5071276722880713,-0.45399719912051295,0
-0.08660105658545589,-0.5133166984177531,-0.3593951402124894,0
-0.16048648702777704,0.22153690183488486,0.033337664284790534,0
-1.2775972839952932,1.7701593441717394,0.061659354111229164,2
-1.3154591688369728,1.9706849793994201,0.036153222121084516,2
-0.3862015161665362,-0.5947858011324614,-0.05408891611782937,0
-0.4852892002709988,0.43458819745571425,-0.27423205424009883,2
0.3437070359965815,-0.6016666300939559,-0.5531550317140116,0
0.2620859406175461,-0.3566812825964294,-0.004260110741523871,0
0.4693514532567211,-0.45423929485574815,-0.16868200008163986,0
0.4502868477861579,0.05117816859931413,-0.6691034253156394,0
-1.10412458951698,1.899318129868845,0.04227291231120156,2
-0.07660194122530051,-0.21142852065700657,-0.09590365704163221,0
-0.14023655968505255,-0.324435420311757,-0.001963695447778859,0
-0.723945351734276,1.0547201270845943,0.1253499961114561,2
6.28675163962208,1.743137089150192,-3.3669538249911546,1
1.2086607305186696,-0.5026733548053425,-0.11697725966471924,0
-0.5096388196409082,0.03513295178539983,-0.12999826950152016,0
-0.33409729659708576,-0.4216927468988925,-0.1554980691919458,0
0.13116194257744554,-0.7709297042571458,0.06195104957458056,0
-0.24348350808002217,-0.05380068155807236,0.012442456646443513,0
0.7716452871219139,-0.6982900553837553,0.16938833187036045,0
-0.5586223210951284,0.5475144059620379,-0.0575798380717188,2
-0.3635900626160269,-0.28256933895725717,-0.17017476818914065,0
-0.7986693451677278,0.8015871028163738,-0.09235584555883086,2
0.0028975337646242527,-0.7514950742984319,-0.006166625505680929,0
1.6623230291277775,-0.06507806747183936,-0.6748052661277368,0
0.5140608970836203,-0.6872257876290084,-0.3220335863335418,0
-0.34226734609697623,-0.6521963356044812,-0.07777534507815981,0
1.8972146970432437,0.0931775461686159,0.15102050990707186,0
0.5170338482422697,-0.3262446744834715,-0.25224084628842636,0
2.402477823058285,-0.011412039465440024,-1.748813272008556,0
-0.2758395757048796,-0.17828317503160276,-0.10173145137887596,0
-0.16667714046307805,-0.18690973436271754,-0.20132650902414995,0
-0.5007877690854828,-0.10176941409532499,-0.09666827413685274,0
2.179587394825454,-0.18079537568981102,0.5168408472228821,0
0.23657466040848685,-0.7327820838023557,-0.4129796951810161,0
-1.4794942718578572,2.3782289368075373,0.06586015482596366,2
-0.21601544194279595,-1.0322122351648517,-0.08047130415269971,0
0.8765544360075097,-0.414489346406063,-0.562062554109821,0
-0.2960515435489974,-0.8600585467637115,-0.057861354720429754,0
